Name,Abbreviation,Author,Doi,Link1,Link2,Abstract,Patients,Slides,Spots,Raw Missing Data,Processed Missing Data,MSE,,,,,,,,,,PCC,,,,,,,,,
Mirzazadeh Mouse Brain P2,MMBP2,Mirzazadeh et al.,https://doi.org/10.1038/s41467-023-36071-5,https://data.mendeley.com/datasets/4w6krnywhn/1,-,"Spatially resolved transcriptomics has enabled precise genome-wide mRNA expression profiling within tissue sections. The performance of methods targeting the polyA tails of mRNA relies on the availability of specimens with high RNA quality. Moreover, the high cost of currently available spatial resolved transcriptomics assays requires a careful sample screening process to increase the chance of obtaining high-quality data. Indeed, the upfront analysis of RNA quality can show considerable variability due to sample handling, storage, and/or intrinsic factors. We present RNA-Rescue Spatial Transcriptomics (RRST), a workflow designed to improve mRNA recovery from fresh frozen specimens with moderate to low RNA quality. First, we provide a benchmark of RRST against the standard Visium spatial gene expression protocol on high RNA quality samples represented by mouse brain and prostate cancer samples. Then, we test the RRST protocol on tissue sections collected from five challenging tissue types, including human lung, colon, small intestine, pediatric brain tumor, and mouse bone/cartilage. In total, we analyze 52 tissue sections and demonstrate that RRST is a versatile, powerful, and reproducible protocol for fresh frozen specimens of different qualities and origins.",1,4,17353,88%,25%,1.018,0.9714,1.102,0.9918,1.191,1.04,0.9135,0.9254,1.123,-,0.3754,0.4224,0.3515,0.3723,0.1478,0.3712,0.4456,0.4384,0.361,-
Mirzazadeh Mouse Brain P1,MMBP1,Mirzazadeh et al.,https://doi.org/10.1038/s41467-023-36071-5,https://data.mendeley.com/datasets/4w6krnywhn/1,-,"Spatially resolved transcriptomics has enabled precise genome-wide mRNA expression profiling within tissue sections. The performance of methods targeting the polyA tails of mRNA relies on the availability of specimens with high RNA quality. Moreover, the high cost of currently available spatial resolved transcriptomics assays requires a careful sample screening process to increase the chance of obtaining high-quality data. Indeed, the upfront analysis of RNA quality can show considerable variability due to sample handling, storage, and/or intrinsic factors. We present RNA-Rescue Spatial Transcriptomics (RRST), a workflow designed to improve mRNA recovery from fresh frozen specimens with moderate to low RNA quality. First, we provide a benchmark of RRST against the standard Visium spatial gene expression protocol on high RNA quality samples represented by mouse brain and prostate cancer samples. Then, we test the RRST protocol on tissue sections collected from five challenging tissue types, including human lung, colon, small intestine, pediatric brain tumor, and mouse bone/cartilage. In total, we analyze 52 tissue sections and demonstrate that RRST is a versatile, powerful, and reproducible protocol for fresh frozen specimens of different qualities and origins.",1,4,17243,70%,11%,1.002,0.9802,0.97022,0.958,1.038,0.9684,0.9486,0.9524,1.354,-,0.2879,0.3091,0.2399,0.2286,0.2118,0.2001,0.2324,0.2325,0.183,-
Abalo Human Squamous Cell Carcinoma,AHSCC,Abalo et al.,https://doi.org/10.17632/2bh5fchcv6.1,https://data.mendeley.com/datasets/2bh5fchcv6/1,-,Visium experiments on a squamous cell carcinoma from a human donor. Four serial 10 µm sections spaced 150 µm apart. Processed sequencing data from 10X Genomics Space Ranger version 1.0.0. A skin biopsy was collected from a patient with suspected squamous cell carcinoma after obtaining informed consent. The diagnosis was histologically verified by a board-certified dermatopathologist. The study protocol was approved by the Institutional Review Board at Stanford University Medical Center (protocol #21750).,1,4,10374,94%,27%,1.164,1.055,1.053,1.113,1.465,1.064,0.9305,0.929,1.274,-,0.5855,0.6545,0.6386,0.6163,0.4082,0.6353,0.6898,0.6942,0.576,-
10xgenomic Human Brain,10XGHB,10X Genomics,-,https://www.10xgenomics.com/resources/datasets/adult-human-brain-1-cerebral-cortex-unknown-orientation-stains-anti-gfap-anti-nfh-1-standard-1-1-0,https://www.10xgenomics.com/resources/datasets/adult-human-brain-2-cerebral-cortex-unknown-orientation-stains-anti-snap-25-anti-nfh-1-standard-1-1-0,"10 µm cerebral cortex section of human brain was obtained from tissue blocks purchased from BioIVT. The section was stained with antibodies and DAPI following Visium Spatial Protocols Tissue Preparation Guide (CG000240) with Methanol Fixation, Immunofluorescence Staining and Imaging for Visium Spatial Protocols (CG000312).",1,2,9882,89%,23%,0.901,0.8444,0.995,0.8797,1.627,0.8982,0.8809,0.9233,1.093,-,0.3987,0.4345,0.2833,0.4093,0.06778,0.3846,0.4129,0.3818,0.264,-
Fan mouse Brain Coronal,FMBC,Fan et al.,https://doi.org/10.1101/2022.10.25.513696,https://data.mendeley.com/datasets/nrbsxrk9mp/1,-,"Capture array-based spatial transcriptomics methods have been widely used to resolve gene expression in diverse tissue contexts, however, their spatial resolution is limited by array density. We present Expansion Spatial Transcriptomics (Ex-ST) to overcome this limitation by clearing and expanding tissue prior to capturing the entire transcriptome. This approach allows us to achieve near cellular resolution and higher capture efficiency of lowly-expressed genes, which we demonstrate using mouse brain samples.",1,2,9132,80%,24%,1.032,0.9733,1.107,1.019,1.662,1.003,0.9758,0.9744,1.2,-,0.4742,0.5208,0.3995,0.4937,0.06884,0.5118,0.5218,0.5279,0.388,-
10xgenomic Human Breast Cancer,10XGHBC,10X Genomics,-,https://www.10xgenomics.com/resources/datasets/human-breast-cancer-block-a-section-1-1-standard-1-0-0,https://www.10xgenomics.com/resources/datasets/human-breast-cancer-block-a-section-2-1-standard-1-0-0,10x Genomics obtained fresh frozen Invasive Ductal Carcinoma breast tissue from BioIVT Asterand. The tissue was embedded and cryosectioned as described in Visium Spatial Protocols - Tissue Preparation Guide Demonstrated Protocol (CG000240). Tissue sections of 10 µm thickness were placed on Visium Gene Expression Slides.,1,2,7785,79%,12%,0.9571,1.024,1.063,0.9706,1.772,1.017,0.9448,0.9279,1.295,-,0.4148,0.3819,0.3327,0.3788,0.1418,0.376,0.4467,0.4635,0.282,-
Mirzazadeh Mouse Bone,MMBO,Mirzazadeh et al.,https://doi.org/10.1038/s41467-023-36071-5,https://data.mendeley.com/datasets/4w6krnywhn/1,-,"Spatially resolved transcriptomics has enabled precise genome-wide mRNA expression profiling within tissue sections. The performance of methods targeting the polyA tails of mRNA relies on the availability of specimens with high RNA quality. Moreover, the high cost of currently available spatial resolved transcriptomics assays requires a careful sample screening process to increase the chance of obtaining high-quality data. Indeed, the upfront analysis of RNA quality can show considerable variability due to sample handling, storage, and/or intrinsic factors. We present RNA-Rescue Spatial Transcriptomics (RRST), a workflow designed to improve mRNA recovery from fresh frozen specimens with moderate to low RNA quality. First, we provide a benchmark of RRST against the standard Visium spatial gene expression protocol on high RNA quality samples represented by mouse brain and prostate cancer samples. Then, we test the RRST protocol on tissue sections collected from five challenging tissue types, including human lung, colon, small intestine, pediatric brain tumor, and mouse bone/cartilage. In total, we analyze 52 tissue sections and demonstrate that RRST is a versatile, powerful, and reproducible protocol for fresh frozen specimens of different qualities and origins.",1,4,7184,87%,17%,0.6351,0.6064,0.6347,0.6571,0.9281,0.6513,0.5921,0.6285,0.668,-,0.617,0.6327,0.6054,0.602,0.0779,0.6062,0.6447,0.6282,0.595,-
10xgenomic Mouse Brain Sagittal Posterior,10XGMBSP,10X Genomics,-,https://www.10xgenomics.com/resources/datasets/mouse-brain-serial-section-2-sagittal-posterior-1-standard-1-1-0,https://www.10xgenomics.com/resources/datasets/mouse-brain-serial-section-1-sagittal-posterior-1-standard-1-1-0,10x Genomics obtained fresh frozen mouse brain tissue (Strain C57BL/6) from BioIVT Asterand. The tissue was embedded and cryosectioned as described in Visium Spatial Protocols - Tissue Preparation Guide Demonstrated Protocol (CG000240). Tissue sections of 10 µm thickness from a sagittal slice of the posterior were placed on Visium Gene Expression Slides.,1,2,6644,79%,21%,0.8828,0.7815,1.014,0.6571,2.307,0.8375,0.7977,0.8567,1.042,-,0.7055,0.7362,0.6525,0.602,0.2275,0.7174,0.7322,0.7177,0.648,-
Mirzazadeh Human Pediatric Brain Tumor P1,MHPBTP1,Mirzazadeh et al.,https://doi.org/10.1038/s41467-023-36071-5,https://data.mendeley.com/datasets/4w6krnywhn/1,-,"Spatially resolved transcriptomics has enabled precise genome-wide mRNA expression profiling within tissue sections. The performance of methods targeting the polyA tails of mRNA relies on the availability of specimens with high RNA quality. Moreover, the high cost of currently available spatial resolved transcriptomics assays requires a careful sample screening process to increase the chance of obtaining high-quality data. Indeed, the upfront analysis of RNA quality can show considerable variability due to sample handling, storage, and/or intrinsic factors. We present RNA-Rescue Spatial Transcriptomics (RRST), a workflow designed to improve mRNA recovery from fresh frozen specimens with moderate to low RNA quality. First, we provide a benchmark of RRST against the standard Visium spatial gene expression protocol on high RNA quality samples represented by mouse brain and prostate cancer samples. Then, we test the RRST protocol on tissue sections collected from five challenging tissue types, including human lung, colon, small intestine, pediatric brain tumor, and mouse bone/cartilage. In total, we analyze 52 tissue sections and demonstrate that RRST is a versatile, powerful, and reproducible protocol for fresh frozen specimens of different qualities and origins.",1,4,5937,73%,21%,0.2398,0.2327,0.247,0.242,0.7224,0.2341,0.2318,0.2337,0.344,-,0.1558,0.2219,0.1727,0.1499,0.01658,0.2082,0.2497,0.2436,0.012,-
10xgenomic Mouse Brain Coronal,10XGMBC,10X Genomics,-,https://www.10xgenomics.com/resources/datasets/adult-mouse-brain-section-1-coronal-stains-dapi-anti-neu-n-1-standard-1-1-0,https://www.10xgenomics.com/resources/datasets/adult-mouse-brain-section-2-coronal-stains-dapi-anti-gfap-anti-neu-n-1-standard-1-1-0,"Adult 10 µm coronal section of mouse brain was obtained from tissue blocks purchased from BioIVT. The section was stained with antibodies and DAPI following following Visium Spatial Protocols Tissue Preparation Guide (CG000240) with Methanol Fixation, Immunofluorescence Staining and Imaging for Visium Spatial Protocols (CG000312).",1,2,5709,80%,18%,1.072,1.132,0.9598,0.9028,1.652,0.9461,0.8448,0.8471,1.152,-,0.3667,0.3838,0.4996,0.5535,0.1531,0.5058,0.579,0.5847,0.42,-
10xgenomic Mouse Brain Sagittal Anterior,10XGMBSA,10X Genomics,-,https://www.10xgenomics.com/resources/datasets/mouse-brain-serial-section-1-sagittal-anterior-1-standard-1-0-0,https://www.10xgenomics.com/resources/datasets/mouse-brain-serial-section-2-sagittal-anterior-1-standard,10x Genomics obtained fresh frozen mouse brain tissue (Strain C57BL/6) from BioIVT Asterand. The tissue was embedded and cryosectioned as described in Visium Spatial Protocols - Tissue Preparation Guide Demonstrated Protocol (CG000240). Tissue sections of 10 µm thickness from a sagittal slice of the anterior were placed on Visium Gene Expression Slides.,1,2,5520,75%,15%,0.8733,0.7921,1.032,1.082,2.394,0.9014,0.8666,0.9568,1.264,-,0.6446,0.6774,0.5466,0.5322,0.0782,0.6199,0.6402,0.6154,0.461,-
Fan Mouse Olfactory Bulb,FMOB,Fan et al.,https://doi.org/10.1101/2022.10.25.513696,https://data.mendeley.com/datasets/nrbsxrk9mp/1,-,"Capture array-based spatial transcriptomics methods have been widely used to resolve gene expression in diverse tissue contexts, however, their spatial resolution is limited by array density. We present Expansion Spatial Transcriptomics (Ex-ST) to overcome this limitation by clearing and expanding tissue prior to capturing the entire transcriptome. This approach allows us to achieve near cellular resolution and higher capture efficiency of lowly-expressed genes, which we demonstrate using mouse brain samples.",1,2,2938,67%,10%,0.8259,0.8695,0.8829,0.7549,1.395,0.8674,0.7746,0.7764,0.95,-,0.6166,0.5757,0.5414,0.6419,0.339,0.5627,0.619,0.6274,0.532,-
Villacampa Lung Organoid,VLO,Villacampa et al.,https://doi.org/10.1016/j.xgen.2021.100066,https://data.mendeley.com/datasets/xjtv62ncwr/2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE185716,"Formalin-fixed paraffin embedding (FFPE) is the most widespread long-term tissue preservation approach. Here, we report a procedure to perform genome-wide spatial analysis of mRNA in FFPE-fixed tissue sections, using well-established, commercially available methods for imaging and spatial barcoding using slides spotted with barcoded oligo(dT) probes to capture the 3′ end of mRNA molecules in tissue sections. We applied this method for expression profiling and cell type mapping in coronal sections from the mouse brain to demonstrate the method’s capability to delineate anatomical regions from a molecular perspective. We also profiled the spatial composition of transcriptomic signatures in two ovarian carcinosarcoma samples, exemplifying the method’s potential to elucidate molecular mechanisms in heterogeneous clinical samples. Finally, we demonstrate the applicability of the assay to characterize human lung and kidney organoids and a human lung biopsy specimen infected with SARS-CoV-2. We anticipate that genome-wide spatial gene expression profiling in FFPE biospecimens will be used for retrospective analysis of biobank samples, which will facilitate longitudinal studies of biological processes and biomarker discovery.",1,4,1832,90%,26%,0.7798,0.778,0.8492,0.8058,0.8484,0.7801,0.7555,0.7526,0.892,1.15,0.3673,0.3736,0.2527,0.3476,0.2692,0.3796,0.4003,0.3966,0.283,0.06
Villacampa Kidney Organoid,VKO,Villacampa et al.,https://doi.org/10.1016/j.xgen.2021.100065,https://data.mendeley.com/datasets/xjtv62ncwr/1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE185715,"Formalin-fixed paraffin embedding (FFPE) is the most widespread long-term tissue preservation approach. Here, we report a procedure to perform genome-wide spatial analysis of mRNA in FFPE-fixed tissue sections, using well-established, commercially available methods for imaging and spatial barcoding using slides spotted with barcoded oligo(dT) probes to capture the 3′ end of mRNA molecules in tissue sections. We applied this method for expression profiling and cell type mapping in coronal sections from the mouse brain to demonstrate the method’s capability to delineate anatomical regions from a molecular perspective. We also profiled the spatial composition of transcriptomic signatures in two ovarian carcinosarcoma samples, exemplifying the method’s potential to elucidate molecular mechanisms in heterogeneous clinical samples. Finally, we demonstrate the applicability of the assay to characterize human lung and kidney organoids and a human lung biopsy specimen infected with SARS-CoV-2. We anticipate that genome-wide spatial gene expression profiling in FFPE biospecimens will be used for retrospective analysis of biobank samples, which will facilitate longitudinal studies of biological processes and biomarker discovery.",1,3,1355,92%,33%,0.8727,0.8702,0.8995,0.8862,1.482,0.8715,0.8749,0.8777,0.92,0.92,0.1994,0.2147,0.1176,0.1673,0.01512,0.2194,0.1984,0.1973,0.173,-0.01
Vicari Human Striatium,VHS,Vicari et al.,https://doi.org/10.1101/2023.01.26.525195,https://figshare.scilifelab.se/articles/dataset/Spatial_Multimodal_Analysis_SMA_-_Spatial_Transcriptomics/22778920,-,"We present a spatial omics approach that merges and expands the capabilities of independently performed in situ assays on a single tissue section. Our spatial multimodal analysis combines histology, mass spectrometry imaging, and spatial transcriptomics to facilitate precise measurements of mRNA transcripts and low-molecular weight metabolites across tissue regions. We demonstrate the potential of our method using murine and human brain samples in the context of dopamine and Parkinson’s disease.",1,4,19033,97%,30%,0.6688,0.6576,0.6583,0.705,0.7223,0.66,0.6617,0.661,0.89,-,0.3079,0.2499,0.2723,0.3049,0.1006,0.2596,0.2613,0.2596,0.13,-
Mirzazadeh Human Pediatric Brain Tumor P2,MHPBTP2,Mirzazadeh et al.,https://doi.org/10.1038/s41467-023-36071-5,https://data.mendeley.com/datasets/4w6krnywhn/1,-,"Spatially resolved transcriptomics has enabled precise genome-wide mRNA expression profiling within tissue sections. The performance of methods targeting the polyA tails of mRNA relies on the availability of specimens with high RNA quality. Moreover, the high cost of currently available spatial resolved transcriptomics assays requires a careful sample screening process to increase the chance of obtaining high-quality data. Indeed, the upfront analysis of RNA quality can show considerable variability due to sample handling, storage, and/or intrinsic factors. We present RNA-Rescue Spatial Transcriptomics (RRST), a workflow designed to improve mRNA recovery from fresh frozen specimens with moderate to low RNA quality. First, we provide a benchmark of RRST against the standard Visium spatial gene expression protocol on high RNA quality samples represented by mouse brain and prostate cancer samples. Then, we test the RRST protocol on tissue sections collected from five challenging tissue types, including human lung, colon, small intestine, pediatric brain tumor, and mouse bone/cartilage. In total, we analyze 52 tissue sections and demonstrate that RRST is a versatile, powerful, and reproducible protocol for fresh frozen specimens of different qualities and origins.",1,2,3163,97%,30%,0.8338,0.8493,0.8416,0.8446,1.825,0.8243,0.8392,0.8417,0.977,-,0.146,0.1839,0.1263,0.1446,0.0009043,0.1864,0.1095,0.1345,0.025,-
Mirzazadeh Human Colon P1,MHCP1,Mirzazadeh et al.,https://doi.org/10.1038/s41467-023-36071-5,https://data.mendeley.com/datasets/4w6krnywhn/1,-,"Spatially resolved transcriptomics has enabled precise genome-wide mRNA expression profiling within tissue sections. The performance of methods targeting the polyA tails of mRNA relies on the availability of specimens with high RNA quality. Moreover, the high cost of currently available spatial resolved transcriptomics assays requires a careful sample screening process to increase the chance of obtaining high-quality data. Indeed, the upfront analysis of RNA quality can show considerable variability due to sample handling, storage, and/or intrinsic factors. We present RNA-Rescue Spatial Transcriptomics (RRST), a workflow designed to improve mRNA recovery from fresh frozen specimens with moderate to low RNA quality. First, we provide a benchmark of RRST against the standard Visium spatial gene expression protocol on high RNA quality samples represented by mouse brain and prostate cancer samples. Then, we test the RRST protocol on tissue sections collected from five challenging tissue types, including human lung, colon, small intestine, pediatric brain tumor, and mouse bone/cartilage. In total, we analyze 52 tissue sections and demonstrate that RRST is a versatile, powerful, and reproducible protocol for fresh frozen specimens of different qualities and origins.",1,2,2225,90%,16%,1.471,1.487,1.363,1.453,3.16,1.547,1.582,1.564,2.569,-,0.4047,0.4446,0.414,0.497,0.2853,0.3229,0.4429,0.4448,0.484,-
