gene	mean	median	longest_isoform	merged
ENSMUSG00000103903.2	881	881	881	881
ENSMUSG00000103557.2	1214	1214	1214	1214
ENSMUSG00000025909.17	3779	4337	4887	4887
ENSMUSG00000102647.2	2532	2532	2532	2532
ENSMUSG00000086235.2	400	400	400	400
ENSMUSG00000102253.2	3534	3534	3534	3534
ENSMUSG00002074990.1	110	110	110	110
ENSMUSG00000103884.2	1164	1164	1164	1164
ENSMUSG00000084353.2	240	240	240	240
ENSMUSG00000103933.2	198	198	198	198
ENSMUSG00002075967.1	110	110	110	110
ENSMUSG00000086195.2	340	340	340	340
ENSMUSG00000104504.2	340	340	340	340
ENSMUSG00000066693.3	626	626	626	626
ENSMUSG00000102316.2	1050	1050	1050	1050
ENSMUSG00000103819.2	518	518	518	518
ENSMUSG00000102871.2	3259	3259	3259	3259
ENSMUSG00000101571.3	960	960	960	960
ENSMUSG00000104428.2	636	636	636	636
ENSMUSG00000102272.2	1170	1170	1170	1170
ENSMUSG00000065625.3	103	103	103	103
ENSMUSG00000103411.2	1406	1406	1406	1406
ENSMUSG00000061024.9	2048	2048	2048	2048
ENSMUSG00000025911.15	3239	3239	3239	3239
ENSMUSG00000079671.10	2575	2575	3475	4939
ENSMUSG00000081441.4	1102	1102	1102	1102
ENSMUSG00000067879.4	3256	3256	3256	3256
ENSMUSG00000099827.2	1067	1067	1067	1067
ENSMUSG00000025912.17	3736	3736	4980	4980
ENSMUSG00000045210.9	9749	9749	9749	9749
ENSMUSG00000097893.10	1014	1146	1343	2418
ENSMUSG00000025915.15	3473	3693	3779	4081
ENSMUSG00000046334.5	357	357	357	357
ENSMUSG00002075801.1	105	105	105	105
ENSMUSG00000098234.9	694	536	2253	3494
ENSMUSG00000046101.17	2540	2553	3249	5916
ENSMUSG00000093178.3	87	87	87	87
ENSMUSG00000099032.3	3416	3416	4193	4193
ENSMUSG00000104025.2	1374	1374	1374	1374
ENSMUSG00000025916.11	1425	1425	1425	1425
ENSMUSG00000087199.2	656	656	656	656
ENSMUSG00000121270.1	2075	2075	2075	2075
ENSMUSG00000119658.1	104	104	104	104
ENSMUSG00000025917.10	1698	1698	1698	1698
ENSMUSG00000056763.17	2503	2348	4355	6070
ENSMUSG00000102356.2	920	920	920	920
ENSMUSG00000067851.12	5201	5201	6978	7097
ENSMUSG00002076532.1	240	240	240	240
ENSMUSG00000102556.2	1722	1722	1722	1722
ENSMUSG00000042501.13	1932	1932	1932	1932
ENSMUSG00000103810.2	2745	2745	2745	2745
ENSMUSG00000083422.2	1456	1456	1456	1456
ENSMUSG00000119312.1	107	107	107	107
ENSMUSG00000081417.2	492	492	492	492
ENSMUSG00000103448.2	1922	1922	1922	1922
ENSMUSG00000100212.2	1242	1242	1242	1242
ENSMUSG00000100648.2	759	759	759	759
ENSMUSG00002076499.1	91	91	91	91
ENSMUSG00000048960.14	11053	11053	11053	11053
ENSMUSG00000077318.3	128	128	128	128
ENSMUSG00000101827.2	609	609	609	609
ENSMUSG00000103494.2	3039	3039	3039	3039
ENSMUSG00000057715.14	3820	2779	6451	8282
ENSMUSG00000103825.2	2471	2471	2471	2471
ENSMUSG00000099845.2	262	262	262	262
ENSMUSG00000103561.2	2144	2144	2144	2144
ENSMUSG00000101610.2	873	873	873	873
ENSMUSG00000118923.1	107	107	107	107
ENSMUSG00000098555.3	121	121	121	121
ENSMUSG00000097628.2	807	807	807	807
ENSMUSG00000098163.2	687	687	687	687
ENSMUSG00000097171.2	3200	3200	3200	3200
ENSMUSG00000101314.2	853	853	853	853
ENSMUSG00000016918.16	4856	4633	5598	7454
ENSMUSG00000025938.17	5472	4406	8509	11133
ENSMUSG00000104518.2	551	551	551	551
ENSMUSG00000069620.7	321	321	321	321
ENSMUSG00000099498.2	288	288	288	288
ENSMUSG00000042414.8	2564	2564	2564	2564
ENSMUSG00000005886.15	7024	8006	8171	8524
ENSMUSG00000103506.2	2253	2253	2253	2253
ENSMUSG00000103495.2	1626	1626	1626	1626
ENSMUSG00002076346.1	82	82	82	82
ENSMUSG00000102639.2	695	695	695	695
ENSMUSG00000104170.2	1872	1872	1872	1872
ENSMUSG00000087782.3	112	112	112	112
ENSMUSG00000103085.2	4642	4642	4642	4642
ENSMUSG00000102664.2	2248	2248	2248	2248
ENSMUSG00000101476.2	681	681	681	681
ENSMUSG00000101171.2	644	644	644	644
ENSMUSG00000025935.11	2938	2938	2938	2938
ENSMUSG00000120948.1	423	423	423	423
ENSMUSG00000025937.7	4494	4494	4494	4494
ENSMUSG00000102982.2	1266	1266	1266	1266
ENSMUSG00000067813.4	1926	1926	1926	1926
ENSMUSG00000077368.3	131	131	131	131
ENSMUSG00000097711.2	997	997	997	997
ENSMUSG00000102166.2	2249	2249	2249	2249
ENSMUSG00002075174.1	308	308	308	308
ENSMUSG00000104209.2	3605	3605	3605	3605
ENSMUSG00000025932.15	3584	3886	4366	4481
ENSMUSG00002075819.1	100	100	100	100
ENSMUSG00000102588.2	439	439	439	439
ENSMUSG00000054493.3	1803	1803	2920	3566
ENSMUSG00000025930.7	1741	1741	1741	1741
ENSMUSG00000103492.2	4321	4321	4321	4321
ENSMUSG00000081201.2	288	288	288	288
ENSMUSG00000082193.2	894	894	894	894
ENSMUSG00000032769.6	3775	3775	4263	4263
ENSMUSG00000088159.3	120	120	120	120
ENSMUSG00000073737.4	996	996	996	996
ENSMUSG00000092083.5	9404	9404	14845	15165
ENSMUSG00000102937.2	1533	1533	1533	1533
ENSMUSG00000104149.2	2089	2089	2089	2089
ENSMUSG00000088829.3	112	112	112	112
ENSMUSG00000077377.3	132	132	132	132
ENSMUSG00000101652.2	251	251	251	251
ENSMUSG00000100814.2	100	100	100	100
ENSMUSG00000025925.15	1924	1924	2268	2268
ENSMUSG00000104379.2	3169	3169	3169	3169
ENSMUSG00000032719.5	2748	2748	2748	2748
ENSMUSG00002076565.1	303	303	303	303
ENSMUSG00000100652.2	553	553	553	553
ENSMUSG00000067795.14	1237	1001	1844	2063
ENSMUSG00000043716.14	1163	1163	1163	1163
ENSMUSG00000025921.8	3587	3587	3587	3587
ENSMUSG00000104165.2	2321	2321	2321	2321
ENSMUSG00000100868.2	1515	1515	1515	1515
ENSMUSG00000025920.20	2546	2773	3907	6582
ENSMUSG00000089982.8	562	562	709	1003
ENSMUSG00000025939.20	1844	1844	2181	3265
ENSMUSG00000102457.2	2980	2980	2980	2980
ENSMUSG00000079658.10	995	742	2014	2402
ENSMUSG00000097744.2	2788	2788	2788	2788
ENSMUSG00000100959.2	683	683	683	683
ENSMUSG00000025940.7	1673	1673	1710	1716
ENSMUSG00000025779.11	530	530	632	632
ENSMUSG00000100093.2	419	419	419	419
ENSMUSG00000091020.4	1860	1860	1860	1860
ENSMUSG00000101640.2	176	176	176	176
ENSMUSG00000104133.2	827	827	827	827
ENSMUSG00000042686.6	4809	4809	4809	4809
ENSMUSG00000100110.2	359	359	359	359
ENSMUSG00000025777.9	3949	3949	3949	3949
ENSMUSG00000099899.2	1011	1011	1011	1011
ENSMUSG00000100272.2	379	379	379	379
ENSMUSG00000100398.2	472	472	472	472
ENSMUSG00000101589.2	2870	2870	2870	2870
ENSMUSG00000102048.2	486	486	486	486
ENSMUSG00000089534.3	111	111	111	111
ENSMUSG00000067780.4	6923	6923	6923	6923
ENSMUSG00000100053.2	4218	4218	4218	4218
ENSMUSG00000085125.8	3086	2146	5210	8345
ENSMUSG00000025776.14	3794	3794	4472	4515
ENSMUSG00000099895.2	629	629	629	629
ENSMUSG00000100554.2	1399	1399	1399	1399
ENSMUSG00000099473.2	586	586	586	586
ENSMUSG00000099591.2	2557	2557	2557	2557
ENSMUSG00000109887.2	2461	2461	2461	2461
ENSMUSG00000102001.2	199	199	199	199
ENSMUSG00000101717.3	142	142	142	142
ENSMUSG00000025774.15	1130	1179	1252	1369
ENSMUSG00000070977.5	219	219	219	219
ENSMUSG00000073735.2	258	258	258	258
ENSMUSG00000067773.7	332	332	467	610
ENSMUSG00000101685.2	985	985	985	985
ENSMUSG00000101306.2	909	909	909	909
ENSMUSG00000088800.4	72	72	72	72
ENSMUSG00000101644.2	112	112	112	112
ENSMUSG00000099433.2	279	279	279	279
ENSMUSG00000089787.3	918	918	918	918
ENSMUSG00000042596.8	1761	1761	1761	1761
ENSMUSG00000100720.2	545	545	545	545
ENSMUSG00000025927.14	3610	3023	5863	6233
ENSMUSG00000100538.2	202	202	202	202
ENSMUSG00000101117.2	472	472	472	472
ENSMUSG00000100204.2	2246	2246	2246	2246
ENSMUSG00002076883.1	65	65	65	65
ENSMUSG00000102597.2	2499	2499	2499	2499
ENSMUSG00000043760.17	12935	12935	12935	12935
ENSMUSG00000104095.2	3479	3479	3479	3479
ENSMUSG00000089914.3	788	788	788	788
ENSMUSG00000090142.3	553	553	553	553
ENSMUSG00000070175.3	102	102	102	102
ENSMUSG00000099906.3	2898	2898	5276	5551
ENSMUSG00000065559.3	73	73	73	73
ENSMUSG00000065480.3	119	119	119	119
ENSMUSG00000025929.5	1171	1171	1171	1171
ENSMUSG00000041872.10	1178	1178	1178	1178
ENSMUSG00000041859.11	3031	3031	3031	3031
ENSMUSG00000099714.2	1186	1186	1186	1186
ENSMUSG00000102121.2	833	833	833	833
ENSMUSG00000088858.3	132	132	132	132
ENSMUSG00000097934.2	1120	1120	1120	1120
ENSMUSG00000025931.16	3242	3088	5330	5488
ENSMUSG00000077314.3	131	131	131	131
ENSMUSG00000100929.2	858	858	858	858
ENSMUSG00000041809.6	2146	2146	2146	2146
ENSMUSG00000041779.6	6492	6492	6492	6492
ENSMUSG00000099971.2	546	546	546	546
ENSMUSG00000100819.2	571	571	571	571
ENSMUSG00000025933.16	1214	1214	1261	1351
ENSMUSG00000102633.2	2100	2100	2100	2100
ENSMUSG00000025934.16	1175	1175	1457	1552
ENSMUSG00000099343.2	633	633	633	633
ENSMUSG00000096375.3	366	366	366	366
ENSMUSG00000121505.1	1529	1529	1614	2382
ENSMUSG00000025936.18	672	672	672	672
ENSMUSG00000093963.2	439	439	439	439
ENSMUSG00000067750.4	1987	1987	1987	1987
ENSMUSG00000086194.2	371	371	371	371
ENSMUSG00000094436.2	228	228	228	228
ENSMUSG00000041722.8	1946	1946	1946	1946
ENSMUSG00000085507.2	350	350	350	350
ENSMUSG00000094926.2	228	228	228	228
ENSMUSG00000085079.4	2236	2236	2236	2236
ENSMUSG00000085679.3	196	196	196	196
ENSMUSG00000028033.17	4696	4668	6975	6980
ENSMUSG00000104138.2	2327	2327	2327	2327
ENSMUSG00000082935.4	1124	1124	1124	1124
ENSMUSG00000103748.2	1567	1567	1567	1567
ENSMUSG00000099692.2	552	552	552	552
ENSMUSG00000100418.2	447	447	447	447
ENSMUSG00000041670.20	5681	6605	7411	7644
ENSMUSG00000097642.2	802	802	802	802
ENSMUSG00000101468.2	921	921	921	921
ENSMUSG00000101227.2	2078	2078	2078	2078
ENSMUSG00000073730.3	1781	1781	1781	1781
ENSMUSG00000089553.3	121	121	121	121
ENSMUSG00000102766.2	723	723	723	723
ENSMUSG00000065405.5	71	71	71	71
ENSMUSG00000097970.2	399	399	399	399
ENSMUSG00000065567.3	84	84	84	84
ENSMUSG00000100775.2	347	347	347	347
ENSMUSG00000101226.2	644	644	644	644
ENSMUSG00000026158.12	4844	4844	4844	4844
ENSMUSG00000097920.2	989	989	989	989
ENSMUSG00000099503.2	778	778	778	778
ENSMUSG00000026156.9	2960	1737	5655	6203
ENSMUSG00000026155.14	1827	1827	2289	2316
ENSMUSG00000026154.5	683	683	683	683
ENSMUSG00000102495.2	390	390	390	390
ENSMUSG00000026153.16	5235	5194	5536	6139
ENSMUSG00000102398.2	2800	2800	2800	2800
ENSMUSG00000097670.2	867	867	867	867
ENSMUSG00000026147.17	3446	3446	3834	4105
ENSMUSG00000026141.14	3801	3801	4266	4428
ENSMUSG00000077463.3	137	137	137	137
ENSMUSG00000099997.2	1337	1337	1337	1337
ENSMUSG00000100131.2	876	876	876	876
ENSMUSG00000067736.3	294	294	294	294
ENSMUSG00000101939.2	345	345	345	345
ENSMUSG00000101111.2	783	783	783	783
ENSMUSG00000100862.2	678	678	678	678
ENSMUSG00000102070.2	681	681	681	681
ENSMUSG00000101249.2	492	492	492	492
ENSMUSG00000073725.9	3456	4453	5228	5542
ENSMUSG00000100808.2	661	661	661	661
ENSMUSG00000100483.2	694	694	748	1216
ENSMUSG00000100450.2	816	816	816	816
ENSMUSG00000099392.2	448	448	448	448
ENSMUSG00000033569.18	4723	5245	5448	5874
ENSMUSG00000080849.2	444	444	444	444
ENSMUSG00000104257.2	1551	1551	1551	1551
ENSMUSG00000119153.1	107	107	107	107
ENSMUSG00000102296.2	1031	1031	1031	1031
ENSMUSG00000103209.2	3375	3375	3375	3375
ENSMUSG00000104027.2	3433	3433	3433	3433
ENSMUSG00000102407.2	2533	2533	2533	2533
ENSMUSG00000103214.2	3105	3105	3105	3105
ENSMUSG00000104100.2	3257	3257	3257	3257
ENSMUSG00000084740.3	104	104	104	104
ENSMUSG00000103889.2	2935	2935	2935	2935
ENSMUSG00000101301.2	570	570	570	570
ENSMUSG00000104221.2	2943	2943	2943	2943
ENSMUSG00000102250.2	3995	3995	3995	3995
ENSMUSG00000102317.2	5440	5440	5440	5440
ENSMUSG00000103563.2	2741	2741	2741	2741
ENSMUSG00000102465.2	3581	3581	3581	3581
ENSMUSG00000102659.2	3691	3691	3691	3691
ENSMUSG00000103924.2	4550	4550	4550	4550
ENSMUSG00000104132.2	3625	3625	3625	3625
ENSMUSG00000102747.2	3310	3310	3310	3310
ENSMUSG00000102386.2	1017	1017	1017	1017
ENSMUSG00000103004.2	330	330	330	330
ENSMUSG00000104516.2	1222	1222	1222	1222
ENSMUSG00000101618.2	556	556	556	556
ENSMUSG00000099458.2	651	651	651	651
ENSMUSG00000088111.3	106	106	106	106
ENSMUSG00000073722.4	4318	4318	4318	4318
ENSMUSG00000119695.1	119	119	119	119
ENSMUSG00000100310.2	417	417	417	417
ENSMUSG00000101514.3	2496	2496	2496	2496
ENSMUSG00000101033.2	654	654	654	654
ENSMUSG00000101372.2	1873	1873	1873	1873
ENSMUSG00000103241.2	1514	1514	1514	1514
ENSMUSG00000086240.5	274	274	274	274
ENSMUSG00000048411.5	2887	2887	2887	2887
ENSMUSG00000081557.3	2482	2482	2482	2482
ENSMUSG00000058590.3	304	304	304	304
ENSMUSG00000101235.2	550	550	550	550
ENSMUSG00002075209.1	112	112	112	112
ENSMUSG00002076857.1	100	100	100	100
ENSMUSG00002074912.1	96	96	96	96
ENSMUSG00000099257.3	125	125	125	125
ENSMUSG00000099492.2	1312	1312	1312	1312
ENSMUSG00000118548.2	1285	1285	1285	1285
ENSMUSG00000101726.2	622	622	622	622
ENSMUSG00002075317.1	110	110	110	110
ENSMUSG00002075289.1	107	107	107	107
ENSMUSG00000053185.3	1161	1161	1161	1161
ENSMUSG00000100261.2	1210	1210	1210	1210
ENSMUSG00000101180.2	328	328	328	328
ENSMUSG00000048874.16	7564	7564	7567	7568
ENSMUSG00000103783.2	2884	2884	2884	2884
ENSMUSG00000104315.2	3035	3035	3035	3035
ENSMUSG00000026064.17	4236	4236	4236	4236
ENSMUSG00000117310.3	2808	3490	4145	4145
ENSMUSG00000117091.2	726	726	726	726
ENSMUSG00000086726.4	729	729	729	729
ENSMUSG00000086727.10	1543	1717	1750	2020
ENSMUSG00000100237.2	585	585	585	585
ENSMUSG00002076113.1	138	138	138	138
ENSMUSG00000100910.2	2858	2858	2858	2858
ENSMUSG00000099796.2	225	225	225	225
ENSMUSG00000050217.14	1937	1937	1937	1937
ENSMUSG00000026063.5	1451	1451	1451	1451
ENSMUSG00000077664.3	127	127	127	127
ENSMUSG00000100205.2	559	559	559	559
ENSMUSG00000100592.2	564	564	564	564
ENSMUSG00000094215.4	762	762	762	762
ENSMUSG00000101093.2	1337	1337	1337	1337
ENSMUSG00000070960.5	1513	1513	1513	1513
ENSMUSG00000088620.3	107	107	107	107
ENSMUSG00000082159.3	835	835	835	835
ENSMUSG00000026058.12	2840	2770	5278	10197
ENSMUSG00000064688.3	107	107	107	107
ENSMUSG00000103482.2	1809	1809	1809	1809
ENSMUSG00000104498.2	1628	1628	1628	1628
ENSMUSG00000104313.2	1545	1545	1545	1545
ENSMUSG00000102865.2	1437	1437	1437	1437
ENSMUSG00000102321.2	3413	3413	3413	3413
ENSMUSG00000091318.3	3609	3609	3609	3609
ENSMUSG00000089489.3	63	63	63	63
ENSMUSG00000104433.2	2470	2470	2470	2470
ENSMUSG00002076392.1	292	292	292	292
ENSMUSG00000102926.2	5007	5007	5007	5007
ENSMUSG00000100497.2	2131	2131	2131	2131
ENSMUSG00000102917.2	1221	1221	1221	1221
ENSMUSG00000100481.2	1789	1789	1789	1789
ENSMUSG00000100590.2	751	751	751	751
ENSMUSG00000088750.3	110	110	110	110
ENSMUSG00000104230.2	650	650	650	650
ENSMUSG00000101754.3	1693	1693	1693	1693
ENSMUSG00000065223.4	100	100	100	100
ENSMUSG00000100318.3	913	913	913	913
ENSMUSG00000101612.3	2255	2255	2255	2255
ENSMUSG00000065260.3	106	106	106	106
ENSMUSG00000026134.12	1975	1975	1975	1975
ENSMUSG00000101682.2	418	418	418	418
ENSMUSG00000102714.2	3075	3075	3075	3075
ENSMUSG00000102093.2	328	328	328	328
ENSMUSG00000103746.3	1264	1264	1264	1264
ENSMUSG00000102198.2	2314	2314	2314	2314
ENSMUSG00000121274.1	517	517	517	517
ENSMUSG00000004768.15	4270	4270	4322	4500
ENSMUSG00000042215.9	1119	1119	1860	1860
ENSMUSG00000103072.2	341	341	341	341
ENSMUSG00000042197.14	7917	7917	11876	15479
ENSMUSG00000081402.5	2557	2557	2557	2557
ENSMUSG00000042182.17	2156	2231	2487	2487
ENSMUSG00000104416.2	1628	1628	1628	1628
ENSMUSG00000026131.22	13448	16340	23251	32085
ENSMUSG00000103596.2	2384	2384	2384	2384
ENSMUSG00000099382.2	334	334	334	334
ENSMUSG00000084506.3	93	93	93	93
ENSMUSG00000103364.2	1698	1698	1698	1698
ENSMUSG00000105982.3	73	73	73	73
ENSMUSG00000096992.4	1750	1750	1750	1750
ENSMUSG00000103001.2	1247	1247	1247	1247
ENSMUSG00000104397.2	430	430	430	430
ENSMUSG00000102839.2	387	387	387	387
ENSMUSG00000101206.2	1162	1162	1162	1162
ENSMUSG00000101462.3	1526	1526	2224	2937
ENSMUSG00000102336.3	6339	6339	6339	6339
ENSMUSG00000092852.3	79	79	79	79
ENSMUSG00000042111.10	1705	1705	1705	1705
ENSMUSG00000101711.2	529	529	529	529
ENSMUSG00000026127.14	5836	5836	5836	5836
ENSMUSG00000026126.16	986	986	1559	1692
ENSMUSG00000100280.4	743	755	870	1497
ENSMUSG00000101223.8	754	712	1180	2121
ENSMUSG00000026125.10	1267	1267	1267	1267
ENSMUSG00000101116.2	292	292	292	292
ENSMUSG00000026124.5	1040	1040	1040	1040
ENSMUSG00000101803.2	475	475	475	475
ENSMUSG00000037529.14	1275	1275	1275	1275
ENSMUSG00000045815.5	510	510	510	510
ENSMUSG00000045174.11	4392	4392	4392	4392
ENSMUSG00000100524.2	423	423	423	423
ENSMUSG00000102499.2	235	235	235	235
ENSMUSG00000103521.2	1396	1396	1396	1396
ENSMUSG00000104098.2	646	646	646	646
ENSMUSG00000037509.22	4900	4900	6514	7382
ENSMUSG00000102537.2	148	148	148	148
ENSMUSG00000102612.2	355	355	355	355
ENSMUSG00000118272.2	171	171	171	171
ENSMUSG00000104002.3	2549	2549	2549	2549
ENSMUSG00000037503.13	2968	2985	5058	5094
ENSMUSG00000104358.2	3036	3036	3036	3036
ENSMUSG00000026123.12	4227	4227	5176	7846
ENSMUSG00000103716.2	2137	2137	2137	2137
ENSMUSG00000103548.2	229	229	229	229
ENSMUSG00000103760.2	436	436	436	436
ENSMUSG00000103997.2	235	235	235	235
ENSMUSG00000077231.3	129	129	129	129
ENSMUSG00000104417.2	640	640	640	640
ENSMUSG00000064601.3	105	105	105	105
ENSMUSG00000101714.2	452	452	452	452
ENSMUSG00000102531.2	566	566	566	566
ENSMUSG00000103096.2	904	904	904	904
ENSMUSG00000102279.2	463	463	463	463
ENSMUSG00000103708.3	690	690	690	690
ENSMUSG00000104201.2	425	425	425	425
ENSMUSG00000102434.2	1372	1372	1372	1372
ENSMUSG00000045216.8	3719	3719	3719	3719
ENSMUSG00000104523.2	447	447	447	447
ENSMUSG00000102202.3	4340	4340	4340	4340
ENSMUSG00000037470.15	9033	9033	9033	9033
ENSMUSG00000098752.3	62	62	62	62
ENSMUSG00000047180.9	1902	1902	2598	3217
ENSMUSG00000037447.17	3949	4329	5504	6058
ENSMUSG00000102762.2	713	713	713	713
ENSMUSG00000010453.13	3081	3664	4663	4805
ENSMUSG00000098680.3	77	77	77	77
ENSMUSG00000037432.16	6315	6315	6315	6315
ENSMUSG00000001143.14	2834	2834	3378	3411
ENSMUSG00000037408.11	4547	4547	4547	4547
ENSMUSG00000104316.2	2159	2159	2159	2159
ENSMUSG00002075980.1	141	141	141	141
ENSMUSG00000001138.14	5242	5242	5292	5292
ENSMUSG00000102845.2	269	269	269	269
ENSMUSG00000067653.13	1771	1964	2277	2335
ENSMUSG00000109510.2	2256	2256	2256	2256
ENSMUSG00000079610.10	1386	1386	2109	2144
ENSMUSG00000026121.14	3771	3776	3892	4260
ENSMUSG00000087589.4	910	910	910	910
ENSMUSG00000046337.18	1972	1972	2286	2433
ENSMUSG00000089906.2	345	345	345	345
ENSMUSG00002075377.1	75	75	75	75
ENSMUSG00000061518.12	745	745	865	920
ENSMUSG00000037351.10	3248	3248	3248	3248
ENSMUSG00000102416.5	1120	1120	1120	1120
ENSMUSG00000104237.2	1633	1633	1633	1633
ENSMUSG00000026117.11	2245	2245	2245	2245
ENSMUSG00000097291.2	583	583	857	1012
ENSMUSG00000026116.12	6622	6622	6698	6701
ENSMUSG00000103016.2	143	143	143	143
ENSMUSG00000102930.2	2413	2413	2413	2413
ENSMUSG00000103159.2	3552	3552	3552	3552
ENSMUSG00000080054.4	498	498	498	498
ENSMUSG00000119706.1	119	119	119	119
ENSMUSG00000050122.21	2370	1702	4717	5414
ENSMUSG00000103603.2	992	992	992	992
ENSMUSG00000026114.15	2611	2197	3554	3731
ENSMUSG00000102231.2	346	346	346	346
ENSMUSG00000026113.18	3232	3021	5691	7717
ENSMUSG00000086064.2	739	739	739	739
ENSMUSG00000102879.2	534	534	534	534
ENSMUSG00000026112.8	3863	3863	3863	3863
ENSMUSG00000026111.16	1229	1179	1414	1445
ENSMUSG00000026110.16	4719	4913	7251	7368
ENSMUSG00000103948.2	2755	2755	2755	2755
ENSMUSG00000087233.2	1790	1790	1790	1790
ENSMUSG00000026090.17	4634	4634	4634	4634
ENSMUSG00000089767.2	560	560	560	560
ENSMUSG00000104365.2	1926	1926	1926	1926
ENSMUSG00000102650.2	2218	2218	2218	2218
ENSMUSG00000060771.16	3037	2861	3953	7665
ENSMUSG00000097268.2	3089	3089	3089	3089
ENSMUSG00000037216.6	1485	1485	1485	1485
ENSMUSG00000026088.16	1203	1203	1231	1556
ENSMUSG00000026087.12	739	662	969	973
ENSMUSG00000061584.7	2564	2564	2564	2564
ENSMUSG00000087374.2	3990	3990	3990	3990
ENSMUSG00000026085.12	799	799	800	803
ENSMUSG00002076708.1	237	237	237	237
ENSMUSG00000058407.13	2093	1699	3472	6602
ENSMUSG00000026083.13	7797	7797	7797	7797
ENSMUSG00000026082.12	4262	4262	4262	4262
ENSMUSG00000103804.2	701	701	701	701
ENSMUSG00000102716.2	1848	1848	1848	1848
ENSMUSG00000037138.19	5938	5948	6010	6089
ENSMUSG00000085391.2	437	437	437	437
ENSMUSG00000085280.2	639	639	639	639
ENSMUSG00000087131.8	1030	1030	1189	1853
ENSMUSG00000102984.2	529	529	529	529
